DimR	Embedding	Assay	G-protein	Layer	Score
PCA	shed	ebBRET	Barr2-GRK2	2	0.041
PCA	shed	ebBRET	Barr2-GRK2	12	0.036
PCA	shed	ebBRET	Barr2-GRK2	30	0.03
PCA	shed	ebBRET	Barr2-GRK2	14	0.026
PCA	shed	ebBRET	Barr2-GRK2	23	0.021
PCA	shed	ebBRET	Barr2-GRK2	32	0.02
PCA	shed	ebBRET	Barr2-GRK2	5	0.018
PCA	shed	ebBRET	Barr2-GRK2	0	0.012
PCA	shed	ebBRET	Barr2-GRK2	13	0.012
PCA	shed	ebBRET	Barr2-GRK2	25	0.012
PCA	shed	ebBRET	Barr2-GRK2	7	0.011
PCA	shed	ebBRET	Barr2-GRK2	17	0.011
PCA	shed	ebBRET	Barr2-GRK2	20	0.011
PCA	shed	ebBRET	Barr2-GRK2	21	0.011
PCA	shed	ebBRET	Barr2-GRK2	16	0.01
PCA	shed	ebBRET	Barr2-GRK2	3	0.009
PCA	shed	ebBRET	Barr2-GRK2	9	0.009
PCA	shed	ebBRET	Barr2-GRK2	27	0.009
PCA	shed	ebBRET	Barr2-GRK2	24	0.007
PCA	shed	ebBRET	Barr2-GRK2	29	0.006
PCA	shed	ebBRET	Barr2-GRK2	6	0.005
PCA	shed	ebBRET	Barr2-GRK2	10	0.004
PCA	shed	ebBRET	Barr2-GRK2	31	0.004
PCA	shed	ebBRET	Barr2-GRK2	33	0.004
PCA	shed	ebBRET	Barr2-GRK2	1	0.003
PCA	shed	ebBRET	Barr2-GRK2	8	0.001
PCA	shed	ebBRET	Barr2-GRK2	26	0.001
PCA	shed	ebBRET	Barr2-GRK2	4	0.0
PCA	shed	ebBRET	Barr2-GRK2	28	0.0
PCA	shed	ebBRET	Barr2	19	0.079
PCA	shed	ebBRET	Barr2	18	0.058
PCA	shed	ebBRET	Barr2	14	0.034
PCA	shed	ebBRET	Barr2	15	0.034
PCA	shed	ebBRET	Barr2	2	0.031
PCA	shed	ebBRET	Barr2	22	0.03
PCA	shed	ebBRET	Barr2	13	0.027
PCA	shed	ebBRET	Barr2	12	0.022
PCA	shed	ebBRET	Barr2	26	0.022
PCA	shed	ebBRET	Barr2	9	0.02
PCA	shed	ebBRET	Barr2	17	0.018
PCA	shed	ebBRET	Barr2	11	0.014
PCA	shed	ebBRET	Barr2	1	0.011
PCA	shed	ebBRET	Barr2	16	0.011
PCA	shed	ebBRET	Barr2	10	0.008
PCA	shed	ebBRET	Barr2	21	0.007
PCA	shed	ebBRET	Barr2	8	0.006
PCA	shed	ebBRET	Barr2	7	0.004
PCA	shed	ebBRET	Barr2	27	0.004
PCA	shed	ebBRET	Barr2	28	0.004
PCA	shed	ebBRET	Barr2	4	0.002
PCA	shed	ebBRET	Barr2	5	0.002
PCA	shed	ebBRET	Barr2	31	0.002
PCA	shed	ebBRET	Barr2	3	0.001
PCA	shed	ebBRET	Barr2	20	0.001
PCA	shed	ebBRET	Barr2	23	0.001
PCA	shed	ebBRET	Barr2	24	0.001
PCA	shed	ebBRET	Barr2	30	0.001
PCA	shed	ebBRET	Barr2	32	0.001
PCA	shed	ebBRET	Barr2	33	0.001
PCA	shed	ebBRET	Barr2	0	0.0
PCA	shed	ebBRET	Barr2	6	0.0
PCA	shed	ebBRET	Barr2	25	0.0
PCA	shed	ebBRET	Barr2	29	0.0
PCA	shed	ebBRET	Barr1-GRK2	19	0.104
PCA	shed	ebBRET	Barr1-GRK2	22	0.081
PCA	shed	ebBRET	Barr1-GRK2	18	0.071
PCA	shed	ebBRET	Barr1-GRK2	15	0.047
PCA	shed	ebBRET	Barr1-GRK2	11	0.044
PCA	shed	ebBRET	Barr1-GRK2	12	0.039
PCA	shed	ebBRET	Barr1-GRK2	2	0.031
PCA	shed	ebBRET	Barr1-GRK2	30	0.026
PCA	shed	ebBRET	Barr1-GRK2	9	0.022
PCA	shed	ebBRET	Barr1-GRK2	16	0.019
PCA	shed	ebBRET	Barr1-GRK2	0	0.017
PCA	shed	ebBRET	Barr1-GRK2	23	0.017
PCA	shed	ebBRET	Barr1-GRK2	29	0.017
PCA	shed	ebBRET	Barr1-GRK2	1	0.015
PCA	shed	ebBRET	Barr1-GRK2	14	0.015
PCA	shed	ebBRET	Barr1-GRK2	10	0.014
PCA	shed	ebBRET	Barr1-GRK2	5	0.013
PCA	shed	ebBRET	Barr1-GRK2	27	0.013
PCA	shed	ebBRET	Barr1-GRK2	31	0.013
PCA	shed	ebBRET	Barr1-GRK2	17	0.009
PCA	shed	ebBRET	Barr1-GRK2	21	0.007
PCA	shed	ebBRET	Barr1-GRK2	7	0.006
PCA	shed	ebBRET	Barr1-GRK2	13	0.005
PCA	shed	ebBRET	Barr1-GRK2	24	0.004
PCA	shed	ebBRET	Barr1-GRK2	26	0.004
PCA	shed	ebBRET	Barr1-GRK2	4	0.003
PCA	shed	ebBRET	Barr1-GRK2	25	0.003
PCA	shed	ebBRET	Barr1-GRK2	28	0.002
PCA	shed	ebBRET	Barr1-GRK2	32	0.001
PCA	shed	ebBRET	Barr1-GRK2	33	0.001
PCA	shed	ebBRET	Barr1-GRK2	3	0.0
PCA	shed	ebBRET	Barr1-GRK2	6	0.0
PCA	shed	ebBRET	Barr1-GRK2	8	0.0
PCA	shed	ebBRET	Barr1-GRK2	20	0.0
PCA	shed	Shedding	GNAZ	6	0.018
PCA	shed	Shedding	GNAZ	17	0.015
PCA	shed	Shedding	GNAZ	4	0.014
PCA	shed	Shedding	GNAZ	15	0.01
PCA	shed	Shedding	GNAZ	26	0.009
PCA	shed	Shedding	GNAZ	16	0.008
PCA	shed	Shedding	GNAZ	7	0.007
PCA	shed	Shedding	GNAZ	12	0.007
PCA	shed	Shedding	GNAZ	21	0.007
PCA	shed	Shedding	GNAZ	2	0.006
PCA	shed	Shedding	GNAZ	14	0.006
PCA	shed	Shedding	GNAZ	20	0.006
PCA	shed	Shedding	GNAZ	22	0.004
PCA	shed	Shedding	GNAZ	11	0.002
PCA	shed	Shedding	GNAZ	25	0.002
PCA	shed	Shedding	GNAZ	29	0.002
PCA	shed	Shedding	GNAZ	31	0.002
PCA	shed	Shedding	GNAZ	32	0.002
PCA	shed	Shedding	GNAZ	33	0.002
PCA	shed	Shedding	GNAZ	1	0.001
PCA	shed	Shedding	GNAZ	3	0.001
PCA	shed	Shedding	GNAZ	5	0.001
PCA	shed	Shedding	GNAZ	9	0.001
PCA	shed	Shedding	GNAZ	10	0.001
PCA	shed	Shedding	GNAZ	19	0.001
PCA	shed	Shedding	GNAZ	24	0.001
PCA	shed	Shedding	GNAZ	27	0.001
PCA	shed	Shedding	GNAZ	28	0.001
PCA	shed	Shedding	GNAZ	0	0.0
PCA	shed	Shedding	GNAZ	8	0.0
PCA	shed	Shedding	GNAZ	13	0.0
PCA	shed	Shedding	GNAZ	18	0.0
PCA	shed	Shedding	GNAZ	23	0.0
PCA	shed	Shedding	GNAZ	30	0.0
PCA	shed	Shedding	GNAS	15	0.052
PCA	shed	Shedding	GNAS	25	0.05
PCA	shed	Shedding	GNAS	30	0.047
PCA	shed	Shedding	GNAS	24	0.046
PCA	shed	Shedding	GNAS	8	0.036
PCA	shed	Shedding	GNAS	12	0.036
PCA	shed	Shedding	GNAS	19	0.032
PCA	shed	Shedding	GNAS	17	0.024
PCA	shed	Shedding	GNAS	20	0.022
PCA	shed	Shedding	GNAS	21	0.021
PCA	shed	Shedding	GNAS	14	0.018
PCA	shed	Shedding	GNAS	33	0.018
PCA	shed	Shedding	GNAS	23	0.015
PCA	shed	Shedding	GNAS	5	0.014
PCA	shed	Shedding	GNAS	3	0.013
PCA	shed	Shedding	GNAS	22	0.012
PCA	shed	Shedding	GNAS	1	0.009
PCA	shed	Shedding	GNAS	4	0.009
