Uniprot_acc	GPCR	Uniprot_id	class
Q14330	GPR18	GPR18_HUMAN	classA
Q96LB1	MRGPRX2	MRGX2_HUMAN	classA
O15552	FFAR2	FFAR2_HUMAN	classA
P46089	GPR3	GPR3_HUMAN	classA
Q8TDU6	GPBAR1	GPBAR_HUMAN	classA
Q15077	P2RY6	P2RY6_HUMAN	classA
P30968	GNRHR	GNRHR_HUMAN	classA
P48145	NPBWR1	NPBW1_HUMAN	classA
P30542	ADORA1	AA1R_HUMAN	classA
P33032	MC5R	MC5R_HUMAN	classA
P04201	MAS1	MAS_HUMAN	classA
P41968	MC3R	MC3R_HUMAN	classA
Q96LA9	MRGPRX4	MRGX4_HUMAN	classA
Q96LB0	MRGPRX3	MRGX3_HUMAN	classA
Q96LB2	MRGPRX1	MRGX1_HUMAN	classA
Q8TDS7	MRGPRD	MRGRD_HUMAN	classA
O00270	GPR31	GPR31_HUMAN	classA
Q9Y2T6	GPR55	GPR55_HUMAN	classA
O14626	GPR171	GP171_HUMAN	classA
P0DMS8	ADORA3	AA3R_HUMAN	classA
Q01726	MC1R	MSHR_HUMAN	classA
Q86SM8	MRGPRE	MRGRE_HUMAN	classA
Q9HC97	GPR35	GPR35_HUMAN	classA
Q7Z602	GPR141	GP141_HUMAN	classA
O14842	FFAR1	FFAR1_HUMAN	classA
Q01718	MC2R	ACTHR_HUMAN	classA
Q96P88	GNRHR2	GNRR2_HUMAN	classA
Q99463	NPY6R	NPY6R_HUMAN	classA
Q8IZP9	ADGRG2	AGRG2_HUMAN	classB2
Q7Z7M1	ADGRD2	AGRD2_HUMAN	classB2
Q5T601	ADGRF1	AGRF1_HUMAN	classB2
Q14246	ADGRE1	AGRE1_HUMAN	classB2
Q6QNK2	ADGRD1	AGRD1_HUMAN	classB2
P48960	ADGRE5	AGRE5_HUMAN	classB2
Q9UHX3	ADGRE2	AGRE2_HUMAN	classB2
Q96K78	ADGRG7	AGRG7_HUMAN	classB2
Q8IZF7	ADGRF2	AGRF2_HUMAN	classB2
Q8IZF3	ADGRF4	AGRF4_HUMAN	classB2
Q9Y653	ADGRG1	AGRG1_HUMAN	classB2
Q9HBW9	ADGRL4	AGRL4_HUMAN	classB2
Q9BY15	ADGRE3	AGRE3_HUMAN	classB2
Q03431	PTH1R	PTH1R_HUMAN	classB1
Q86SQ6	ADGRA1	AGRA1_HUMAN	classB2
O95838	GLP2R	GLP2R_HUMAN	classB1
P49190	PTH2R	PTH2R_HUMAN	classB1
Q86Y34	ADGRG3	AGRG3_HUMAN	classB2
Q8IZF4	ADGRG5	AGRG5_HUMAN	classB2
P47871	GCGR	GLR_HUMAN	classB1
P30988	CALCR	CALCR_HUMAN	classB1
P41586	ADCYAP1R1	PACR_HUMAN	classB1
P48546	GIPR	GIPR_HUMAN	classB1
P43220	GLP1R	GLP1R_HUMAN	classB1
Q16602	CALCRL	CALRL_HUMAN	classB1
Q86SQ3	ADGRE4P	AGRE4_HUMAN	classB2
P32241	VIPR1	VIPR1_HUMAN	classB1
P34998	CRHR1	CRFR1_HUMAN	classB1
P47872	SCTR	SCTR_HUMAN	classB1
P41587	VIPR2	VIPR2_HUMAN	classB1
Q02643	GHRHR	GHRHR_HUMAN	classB1
Q13324	CRHR2	CRFR2_HUMAN	classB1
